.5,"POSTMASTER","","","POSTMASTER","","","","MEDICAL ADMINISTRATION","","","",
.6,"SHARED,MAIL","","","","","","","","","","",
1,"PROGRAMMER,ONE","MALE","","COMPUTER SPECIALIST","666884833","","","INFORMATION SYSTEMS CENTER","","","",
5,"PROGRAMMER,TWO","FEMALE","","COMPUTER SPECIALIST","666277333","","","INFORMATION SYSTEMS CENTER","","","",
7,"PROGRAMMER,THREE","","","COMPUTER SPECIALIST","666848445","","","INFORMATION SYSTEMS CENTER","","","",
73,"PROGRAMMER,FOUR","MALE","DEC  7,1941","COMPUTER SPECIALIST","666448488","","","INFORMATION SYSTEMS CENTER","","","",
119,"PROGRAMMER,FIVE","MALE","","COMPUTER SPECIALIST","666994449","","","INFORMATION SYSTEMS CENTER","","","",
120,"MAIL,TEST","FEMALE","DEC  7,1941","","","","","","","","",
121,"PROGRAMMER,SIX","","","COMPUTER SPECIALIST","666848844","","","INFORMATION SYSTEMS CENTER","","","",
541,"PROGRAMMER,SEVEN","MALE","","COMPUTER SPECIALIST","666998449","","","INFORMATION SYSTEMS CENTER","","","",
545,"PROGRAMMER,EIGHT","FEMALE","","COMPUTER SPECIALIST","666099985","","","INFORMATION SYSTEMS CENTER","","","",
546,"PROGRAMMER,NINE","FEMALE","","COMPUTER SPECIALIST","666948848","","","INFORMATION SYSTEMS CENTER","","","",
548,"PROGRAMMER,TEN","FEMALE","","COMPUTER SPECIALIST","666484856","","","INFORMATION SYSTEMS CENTER","","","",
559,"PROGRAMMER,ELEVEN","MALE","DEC  7,1941","COMPUTER SPECIALIST","666383882","","","INFORMATION SYSTEMS CENTER","","","",
576,"PROGRAMMER,TWELVE","","","COMPUTER SPECIALIST","666858443","","","INFORMATION SYSTEMS CENTER","","","",
585,"PROGRAMMER,THIRTEEN","MALE","DEC  7,1941","COMPUTER SPECIALIST","666377388","","","INFORMATION SYSTEMS CENTER","","","",
622,"PROGRAMMER,FOURTEEN","FEMALE","","COMPUTER SPECIALIST","666789999","","","INFORMATION SYSTEMS CENTER","","","",
624,"PROGRAMMER,FIFTEEN","FEMALE","","COMPUTER SPECIALIST","666988898","","","INFORMATION SYSTEMS CENTER","","","",
625,"PROGRAMMER,SIXTEEN","MALE","DEC  7,1941","COMPUTER SPECIALIST","666485994","","","INFORMATION SYSTEMS CENTER","","","",
627,"PROGRAMMER,SEVENTEEN","MALE","","COMPUTER SPECIALIST","666429945","","","INFORMATION SYSTEMS CENTER","","","",
636,"PROGRAMMER,EIGHTEEN","FEMALE","","COMPUTER SPECIALIST","666424411","","","INFORMATION SYSTEMS CENTER","","","",
725,"PROGRAMMER,NINETEEN","FEMALE","","COMPUTER SPECIALIST","666884845","","","INFORMATION SYSTEMS CENTER","","","",
755,"PROGRAMMER,TWENTY","MALE","","COMPUTER SPECIALIST","666477884","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","FULL TIME","WARDCLERK,SIXTYSEVEN",
806,"PROGRAMMER,TWENTYONE","FEMALE","","COMPUTER SPECIALIST","666387834","","","INFORMATION SYSTEMS CENTER","","","",
813,"PROGRAMMER,TWENTYTWO","FEMALE","DEC  7,1941","COMPUTER SPECIALIST","666534999","","","INFORMATION SYSTEMS CENTER","","FULL TIME","",
824,"PROGRAMMER,TWENTYTHREE","MALE","DEC  7,1941","COMPUTER SPECIALIST","666737333","","","INFORMATION SYSTEMS CENTER","","","",
876,"PROGRAMMER,TWENTYFOUR","","","COMPUTER SPECIALIST","666378499","","","INFORMATION SYSTEMS CENTER","","","",
877,"PROGRAMMER,TWENTYFIVE","FEMALE","","COMPUTER SPECIALIST","666378485","","","INFORMATION SYSTEMS CENTER","","","",
888,"PROGRAMMER,TWENTYSIX","FEMALE","","COMPUTER SPECIALIST","666378844","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","FULL TIME","",
889,"PROGRAMMER,TWENTYSEVEN","FEMALE","","COMPUTER SPECIALIST","666388344","","","INFORMATION SYSTEMS CENTER","","","",
923,"PROGRAMMER,TWENTYEIGHT","MALE","DEC  7,1941","COMPUTER SPECIALIST","666534443","","","INFORMATION SYSTEMS CENTER","PHYSICIAN ASSISTANT","FULL TIME","",
940,"PROGRAMMER,TWENTYNINE","MALE","","COMPUTER SPECIALIST","666783833","","","INFORMATION SYSTEMS CENTER","","","",
978,"PROGRAMMER,THIRTY","FEMALE","","COMPUTER SPECIALIST","666888999","","","INFORMATION SYSTEMS CENTER","","","",
983,"PROVIDER,ONE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
985,"PROVIDER,TWO","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
986,"PROVIDER,THREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
987,"PROVIDER,FOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
988,"PROVIDER,FIVE","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
989,"PROVIDER,SIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
990,"PROVIDER,SEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
991,"PROVIDER,EIGHT","","","Scholar Extraordinaire","","","","MEDICINE","FELLOW","FULL TIME","",
992,"PROVIDER,NINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
993,"PROVIDER,TEN","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
994,"PROVIDER,ELEVEN","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
995,"PROVIDER,TWELVE","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
996,"PROVIDER,THIRTEEN","","","Scholar Extraordinaire","","","","MEDICINE","","FULL TIME","",
997,"PROVIDER,FOURTEEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
998,"PROVIDER,FIFTEEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
999,"PROVIDER,SIXTEEN","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
1000,"RESIDENT,ONE","MALE","DEC  7,1941","RESIDENT","","","","MEDICAL","","","",
1001,"PROVIDER,SEVENTEEN","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
